"pmedid"	"year"	"author"	"title"	"citation"	"importance"
3163317					
3385139					
8608934					
3473482					
3527687					
2409253					
6608731					
	1984	"Leo S. Luckinbill, Robert Arking, Michael J. Clare, William C. Cirocco, and Steven A. Buck "	"Selection for Delayed Senescence in Drosophila melanogaster"	"Evolution 38, 996-1003"	
	1984	"Michael R. Rose"	"Laboratory Evolution of Postponed Senescence in Drosophila melanogasterÂ "	"Evolution 38, 1004-1010"	
6389107					
6959141					
6955798					
7063854					
7056998					
6776406					
424739					
812099					
1143315					
4526202					
5212575					
13940312					
14024359					
	1962	"J. Maynard Smith"	"Review Lectures on Senescence: I. The Causes of Aging"	"Proc. R. Soc. London Ser. B 157, 115-127"	
	1958	"J. Maynard Smith"	"The Effects of Temperature and of Egg-Laying on the Longevity of Drosophila subobscura"	"J. Exp. Biol. 35, 832-842"	
	1957	"G. C. Williams "	"Pleiotropy, Natural Selection, and the Evolution of Senescence"	"Evolution 11, 398-411 "	
13332224					
11683139					
